"deviceid","channelcode","channelgenreid","labelingdate","eventdate","eventid","timefrom","timeto","durationintime","durationinsec","labelid","labeltype","labeltypeid","title","titleid","advertiser","advertiserid","producer","producerid","adbrand","adbrandid","adproduct","adproductid","adcategory","adcategoryid","adsector","adsectorid","class","classid","description","descriptionid","programname","programnameid","programgenre","programgenreid","sporttype","programid","programsegment","totalprogramsegment","breakid","posinbreak","numberofspots","previousprogramtitle","previousprogramtitleid","currentprogramtitle","currentprogramtitleid","nextprogramtitle","nextprogramtitleid"
"1003","3","1002","2026-04-02","2026-04-02","1000032","05:20:54","05:59:59","00:39:05","2345","1029","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31011","1","1","05200001","","","","","","","",""
"1003","3","1002","2026-04-02","2026-04-02","1000458","21:13:05","21:23:43","00:10:38","638","1337","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31035","1","2","05200001","","","","","","","",""
"1003","3","1002","2026-04-02","2026-04-02","1000472","21:30:17","21:39:57","00:09:40","580","1350","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31035","2","2","05200001","","","","","","","",""
"1003","3","1002","2026-04-03","2026-04-03","1000329","18:19:44","18:27:11","00:07:27","447","1217","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31031","1","3","18190001","","","","","","","",""
"1003","3","1002","2026-04-03","2026-04-03","1000342","18:30:43","18:45:16","00:14:33","873","1229","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31031","2","3","18190001","","","","","","","",""
"1003","3","1002","2026-04-03","2026-04-03","1000352","18:49:05","19:07:24","00:18:19","1099","1238","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31031","3","3","18190001","","","","","","","",""
"1003","3","1002","2026-04-04","2026-04-04","1000421","21:02:51","21:15:53","00:13:02","782","1284","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31034","1","4","21020001","","","","","","","",""
"1003","3","1002","2026-04-04","2026-04-04","1000437","21:19:36","21:29:43","00:10:07","607","1295","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31034","2","4","21020001","","","","","","","",""
"1003","3","1002","2026-04-04","2026-04-04","1000450","21:36:14","21:42:31","00:06:17","377","1304","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31034","3","4","21020001","","","","","","","",""
"1003","3","1002","2026-04-04","2026-04-04","1000467","21:47:54","21:59:51","00:11:57","717","1316","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31034","4","4","21020001","","","","","","","",""
"1003","3","1002","2026-04-05","2026-04-05","1000241","14:56:58","14:57:08","00:00:10","10","1147","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31018","1","4","14560001","","","","","","","",""
"1003","3","1002","2026-04-05","2026-04-05","1000243","14:57:14","15:10:16","00:13:02","782","1149","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31018","2","4","14560001","","","","","","","",""
"1003","3","1002","2026-04-05","2026-04-05","1000251","15:14:49","15:31:20","00:16:31","991","1155","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31018","3","4","14560001","","","","","","","",""
"1003","3","1002","2026-04-05","2026-04-05","1000261","15:34:45","15:46:44","00:11:59","719","1163","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31018","4","4","14560001","","","","","","","",""
"1003","3","1002","2026-04-05","2026-04-05","1000489","23:42:37","23:55:39","00:13:02","782","1336","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31025","1","1","14560001","","","","","","","",""
"1003","3","1002","2026-04-06","2026-04-06","1000003","00:02:13","00:12:20","00:10:07","607","1004","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31001","1","2","00020001","","","","","","","",""
"1003","3","1002","2026-04-06","2026-04-06","1000005","00:12:26","00:30:52","00:18:26","1106","1006","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31001","2","2","00020001","","","","","","","",""
"1003","3","1002","2026-04-06","2026-04-06","1000323","21:13:02","21:20:02","00:07:00","420","1248","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31026","1","4","00020001","","","","","","","",""
"1003","3","1002","2026-04-06","2026-04-06","1000331","21:21:49","21:31:38","00:09:49","589","1256","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31026","2","4","00020001","","","","","","","",""
"1003","3","1002","2026-04-06","2026-04-06","1000346","21:37:10","21:44:08","00:06:58","418","1269","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31026","3","4","00020001","","","","","","","",""
"1003","3","1002","2026-04-06","2026-04-06","1000352","21:45:07","21:58:54","00:13:47","827","1275","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31026","4","4","00020001","","","","","","","",""
"1003","3","1002","2026-04-07","2026-04-07","1000219","16:42:53","16:49:51","00:06:58","418","1166","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31028","1","2","16420001","","","","","","","",""
"1003","3","1002","2026-04-07","2026-04-07","1000227","16:53:10","17:23:45","00:30:35","1835","1172","program","2","WOMENS CLUB","1178","","","","","","","","","","","","","","","","","WOMENS CLUB","1178","LIFESTYLE","3444","","31028","2","2","16420001","","","","","","","",""
